Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2011,"Interference With Officer",1047,982
2011,Intimidation,171,42
2011,Kidnapping,266,31
2011,"Liquor Law Violation",619,615
2011,"Motor Vehicle Theft",19388,947
2011,Narcotics,38604,38545
2011,Obscenity,40,31
2011,"Offense Involving Children",2450,492
2011,"Other Narcotic Violation",5,3
2011,"Other Offense",20207,3174
2011,Prostitution,2424,2419
2011,"Public Indecency",13,13
2011,"Public Peace Violation",3095,2399
2011,Robbery,13983,1325
2011,"Sex Offense",1098,355
2011,Stalking,182,30
2011,Theft,75153,8468
2011,"Weapons Violation",3880,3146
2012,Arson,469,46
2012,Assault,19900,4791
2012,Battery,59132,13066
2012,Burglary,22844,1288
2012,"Criminal Damage",35855,2463
2012,"Criminal Sexual Assault",1471,227
2012,"Criminal Trespass",8216,6055
2012,"Deceptive Practice",13791,2976
2012,Gambling,724,723
2012,Homicide,490,228
2012,"Interference With Officer",1228,1162
2012,Intimidation,156,34
2012,Kidnapping,235,22
2012,"Liquor Law Violation",573,562
2012,"Motor Vehicle Theft",16490,868
2012,Narcotics,35489,35228
2012,Obscenity,26,23
2012,"Offense Involving Children",2353,455
2012,"Other Narcotic Violation",6,4
2012,"Other Offense",17524,2765
2012,Prostitution,2204,2189
2012,"Public Indecency",17,17
2012,"Public Peace Violation",3007,2251
2012,Robbery,13484,1385
2012,"Sex Offense",1089,296
2012,Stalking,207,38
2012,Theft,75464,8250
2012,"Weapons Violation",3907,3264
2013,Arson,364,46
2013,Assault,17972,4467
2013,Battery,54006,12928
2013,Burglary,17894,1104
2013,"Criminal Damage",30856,2107
2013,"Criminal Sexual Assault",1359,248
2013,"Criminal Trespass",8136,6074
2013,"Deceptive Practice",13952,2521
2013,Gambling,596,591
2013,Homicide,418,197
2013,"Human Trafficking",2,1
2013,"Interference With Officer",1281,1203
2013,Intimidation,135,20
2013,Kidnapping,242,34
2013,"Liquor Law Violation",465,448
2013,"Motor Vehicle Theft",12582,834
2013,Narcotics,34129,33821
2013,Obscenity,25,19
2013,"Offense Involving Children",2523,448
2013,"Other Narcotic Violation",5,4
2013,"Other Offense",18051,3414
2013,Prostitution,1652,1648
2013,"Public Indecency",10,10
2013,"Public Peace Violation",3135,2330
2013,Robbery,11819,1332
2013,"Sex Offense",1063,297
2013,Stalking,154,32
2013,Theft,71536,7727
2013,"Weapons Violation",3245,2667
2014,Arson,397,34
2014,Assault,16903,4507
2014,Battery,49455,12522
2014,Burglary,14569,910
2014,"Concealed Carry Violation",15,12
2014,"Criminal Damage",27799,2095
2014,"Criminal Sexual Assault",1400,201
2014,"Criminal Trespass",7539,5490
2014,"Deceptive Practice",15995,1776
2014,Gambling,393,392
2014,Homicide,421,195
2014,"Human Trafficking",3,0
2014,"Interference With Officer",1399,1324
2014,Intimidation,115,27
2014,Kidnapping,220,18
2014,"Liquor Law Violation",397,386
2014,"Motor Vehicle Theft",9911,763
2014,Narcotics,29118,29002
2014,Obscenity,39,29
2014,"Offense Involving Children",2566,489
2014,"Other Narcotic Violation",10,8
2014,"Other Offense",17020,4172
2014,Prostitution,1625,1612
2014,"Public Indecency",10,10
2014,"Public Peace Violation",2903,2349
2014,Robbery,9800,1051
2014,"Sex Offense",1027,253
2014,Stalking,142,28
2014,Theft,61569,7423
2014,"Weapons Violation",3113,2581
